material_id,Name,A_site,B_site,X_site,Spacegroup,Ehull,Energy,density_MP
mp-540926,BaCrO3,Ba,Cr,O,P6_3/mmc,0.0837866146250041,-38.0714095616666,6.14262911421814
mp-19271,BaCrO3,Ba,Cr,O,P6_3/mmc,0.294836223625004,-34.9278585225,5.82101597651462
mp-1076800,BaCuO3,Ba,Cu,O,Pm-3m,0.0827329195833366,-27.0503014,6.43934851012735
mp-1183286,BaDyO3,Ba,Dy,O,Pm-3m,0.108720870999999,-34.93181,6.65191214987648
mp-1183291,BaErO3,Ba,Er,O,Pm-3m,0.0867026415000005,-35.10582568,6.89440034135658
mp-1183310,BaEuO3,Ba,Eu,O,Pm-3m,0.0353090495000092,-38.83960138,6.41064369671765
mp-19035,BaFeO3,Ba,Fe,O,Pm-3m,0.00686423333333241,-31.62303443,6.11594172788745
mp-705845,BaFeO3,Ba,Fe,O,R3m,0.460984997333333,-29.33711307,3.85510618518923
mp-1192651,BaFeO3,Ba,Fe,O,P6_3/mmc,0,-30.9897433016666,6.03422707462818
mp-676865,BaGeO3,Ba,Ge,O,P1,0.451184006166666,-31.1775942983333,4.52506094290973
mp-1016823,BaGeO3,Ba,Ge,O,Pm-3m,0.2323634095,-31.63039962,6.79256211574148
mp-13863,BaGeO3,Ba,Ge,O,P2_12_12_1,0,-32.8004714975,4.80199453725803
mp-1195469,BaGeS3,Ba,Ge,S,P2_1/c,0,-24.5979670675,3.64646836984744
mp-998552,BaHfO3,Ba,Hf,O,Pm-3m,0,-43.59170847,8.12815498437526
mp-1383356,BaHfS3,Ba,Hf,S,Pm-3m,0.0282627044999995,-33.33693258,5.43517025567147
mp-998419,BaHfS3,Ba,Hf,S,Pnma,0.00750621099999993,-33.4397513175,5.51465467543567
mp-998361,BaHfS3,Ba,Hf,S,Cmmm,1.5709275585,-25.62360831,5.7668494901011
mp-998352,BaHfS3,Ba,Hf,S,R3m,0.0283550605,-33.34253198,5.43661614953174
mp-1105549,BaHfS3,Ba,Hf,S,Pnma,0,-33.4579489125,5.49833713646944
mp-1183288,BaInO3,Ba,In,O,Pm-3m,0.0772048647500005,-28.27067923,6.33116116273878
mp-1227991,BaInO3,Ba,In,O,Amm2,0.0976628067500007,-28.134640205,6.28586478510514
mp-5660,BaIrO3,Ba,Ir,O,Pm-3m,0.143234261625,-32.84561338,9.27231693995367
mp-542897,BaIrO3,Ba,Ir,O,C2/m,0.0162561192916666,-33.5400255,8.54299401930828
mp-4307,BaIrO3,Ba,Ir,O,C2/c,0.0471774166249999,-33.389857055,8.82601566118885
mp-10250,BaLiF3,Ba,Li,F,Pm-3m,0.0219032200000013,-26.89029715,5.0209781647193
mp-23818,BaLiH3,Ba,Li,H,Pm-3m,0,-16.52409857,3.76835858969577
mp-632808,BaLiH3,Ba,Li,H,Pm-3m,0.620587922,-13.41940708,1.88142660265269
mp-1183284,BaLiO3,Ba,Li,O,Pm-3m,0.308695115000001,-24.87840865,4.67736530052116
mp-1016852,BaMnO3,Ba,Mn,O,Pm-3m,0.126113079,-33.89834013,6.14512787876326
mp-19156,BaMnO3,Ba,Mn,O,P6_3/mmc,0.000148323499999492,-34.469199005,5.51135550561921
mp-19267,BaMnO3,Ba,Mn,O,P6_3cm,0.00734967399999942,-34.5055254383333,5.44114222550092
mp-18840,BaMnO3,Ba,Mn,O,R-3m,0.0148978403333331,-34.47144424,5.81238225377974
mp-557535,BaMnO3,Ba,Mn,O,P6_3/mmc,0.0146761932499997,-37.15497365125,5.83921113493443
mp-675227,BaMnO3,Ba,Mn,O,R-3m,0.0146679189999999,-37.1078062,5.86462829845153
mp-35078,BaMnO3,Ba,Mn,O,P6_3/mmc,0.0199517790000003,-34.3785317275,5.95751016696038
mp-1205336,BaMnO3,Ba,Mn,O,P6_3mc,0,-34.4700919,5.51798816216913
mp-757501,BaMnO3,Ba,Mn,O,P-6m2,0.0184103539999994,-37.1325232083333,5.89360211478298
mp-19322,BaMoO3,Ba,Mo,O,Pm-3m,0,-34.93217258,6.53872406844893
mp-3020,BaNbO3,Ba,Nb,O,Pm-3m,0,-40.68432148,6.44375626236968
mp-35143,BaNbS3,Ba,Nb,S,P6_3/mmc,0.00309318415384219,-31.649644215,4.50490780435648
mp-754307,BaNdO3,Ba,Nd,O,R-3c,0.115870301250007,-34.43810413,5.84149959658884
mp-755877,BaNdO3,Ba,Nd,O,Pm-3m,0.178523351250008,-34.12484993,5.78389150487916
mp-1096852,BaNiCl3,Ba,Ni,Cl,P6_3mc,0.290261046000001,-20.373643765,4.38153624235624
mp-19138,BaNiO3,Ba,Ni,O,P6_3/mmc,0.000139646000002713,-26.942048315,5.92889736327445
mp-19241,BaNiO3,Ba,Ni,O,P6_3mc,0,-26.943943065,5.91957231451644
mp-1120765,BaNiO3,Ba,Ni,O,Pm-3m,0.124191377000003,-26.2049254,6.18786998556505
mp-8558,BaNpO3,Ba,Np,O,Pm-3m,0,-44.49296362,8.07044065793061
mp-781625,BaOsO3,Ba,Os,O,Pm-3m,0.080434833,-36.1276264,9.28941020439192
mp-8557,BaPaO3,Ba,Pa,O,Pm-3m,0,-42.04490568,7.53222754821584
mp-22230,BaPbO3,Ba,Pb,O,Imma,0,-28.950990835,7.8818076839881
mp-21280,BaPbO3,Ba,Pb,O,Pm-3m,0.0270186640000034,-28.81934841,7.8522392770128
mp-20461,BaPbO3,Ba,Pb,O,C2/m,5.18350000033863E-05,-28.951234165,7.87718009894177
mp-561598,BaPbO3,Ba,Pb,O,Pm-3m,1.09517206,-23.48011115,6.39922562045529
mp-20991,BaPbO3,Ba,Pb,O,I4/mcm,0.00284140700000357,-28.93679336,7.90441611698772
mp-1178510,BaPdO3,Ba,Pd,O,Pm-3m,0.0287006584999974,-28.32892723,6.88571980964728
mp-6910,BaPrO3,Ba,Pr,O,R-3c,0.118148188999999,-34.310563125,5.70791133172849
mp-4783,BaPrO3,Ba,Pr,O,Pm-3m,0.190828110999998,-33.94816022,5.60023001774417
mp-6909,BaPrO3,Ba,Pr,O,Imma,0.112214571999998,-34.339697175,5.70675126286429
mp-22705,BaPrO3,Ba,Pr,O,Pnma,0.107053414499999,-34.3741860075,5.71299429117947
mp-11006,BaPS3,Ba,P,S,P2_1/c,0,-25.595076525,3.22271889809428
mp-11008,BaPSe3,Ba,P,Se,P2_1/c,0,-22.8645965825,4.42913258407819
mp-1183290,BaPtO3,Ba,Pt,O,Pm-3m,0.099315742266664,-29.35798044,8.913980251561
mp-1214788,BaPtO3,Ba,Pt,O,P6_3/mmc,0.00471504112380661,-29.7749697992857,8.4805018421632
mp-7143,BaPuO3,Ba,Pu,O,Pm-3m,0.0243402839999991,-45.978362,8.29738839932299
mp-505025,BaPuO3,Ba,Pu,O,Pnma,0,-46.092593475,8.41075602233713
mp-989637,BaReN3,Ba,Re,N,C2/c,0,-41.785549945,6.20583566802751
mp-1183298,BaReO3,Ba,Re,O,Pm-3m,0.136123029666644,-38.95676556,9.18649239814682
mp-1016850,BaRhO3,Ba,Rh,O,Pm-3m,0.0983361712962951,-31.57447136,6.97270155774258
mp-7685,BaRhO3,Ba,Rh,O,P6_3/mmc,0.0154937257962962,-32.0378981925,6.62825463447308
mp-1017591,BaRuO3,Ba,Ru,O,Pm-3m,0.0667693693333327,-34.55190979,7.08696163452869
mp-3598,BaRuO3,Ba,Ru,O,P6_3/mmc,0.023979915,-34.7749299233333,6.87539633783081
mp-5773,BaRuO3,Ba,Ru,O,R-3m,0,-34.8989266833333,6.62881484814708
mp-3597,BaRuO3,Ba,Ru,O,P6_3/mmc,0.0066173323333345,-34.8637333025,6.74570319695964
mp-1183289,BaScO3,Ba,Sc,O,Pm-3m,0.026701069166676,-37.06816832,5.08936658183971
mp-6989,BaSeO3,Ba,Se,O,P2_1/m,0,-29.766177,4.75366383474521
mp-7339,BaSiO3,Ba,Si,O,P2_12_12_1,0.0220318505000003,-37.0340781925,4.22550302186131
mp-12958,BaSiO3,Ba,Si,O,R-3m,0.294701016333332,-35.6690944966667,5.76522697175379
mp-776076,BaSiO3,Ba,Si,O,P2_1/c,0.0389198642499995,-36.947438615,4.40041471019484
mp-1016821,BaSiO3,Ba,Si,O,Pm-3m,0.561268265,-34.33318537,6.27351983662009
mp-18407,BaSiO3,Ba,Si,O,P6_3/mmc,0.408567218999999,-35.0981435116666,6.07118098610978
mp-776084,BaSiO3,Ba,Si,O,C2/c,0,-37.143546465,4.01223934131015
mp-3163,BaSnO3,Ba,Sn,O,Pm-3m,0,-31.64384996,6.86998405997261
mp-1178513,BaSnO3,Ba,Sn,O,Imma,0.000646022999998941,-31.643519315,6.86413892819664
mp-1183370,BaSnS3,Ba,Sn,S,Pnma,0.0156748426111122,-23.7988105725,4.6127062471157
mp-768307,BaSO3,Ba,S,O,P2_1/m,0.0694253274999994,-31.81910169,4.22051598251705
mp-754678,BaTaO3,Ba,Ta,O,Pm-3m,0.0321916528000088,-42.89719226,8.62853724776436
mp-4001,BaTaS3,Ba,Ta,S,P6_3/mmc,0,-33.59949929,5.73294325838388
mp-1078588,BaTaSe3,Ba,Ta,Se,P6_3/mmc,0.0291486750000001,-30.65960593,6.78161746675686
mp-548824,BaTbO3,Ba,Tb,O,R-3c,0.093177259750008,-34.95014921,6.55374067130473
