material_id,formula_pretty,crystal_system,space_group,number,nsites,volume,density,density,energy,energy_per_atom,A_site,B_site,X_site,energy_above_hull,k_voigt,k_reuss,k_vrh
mp-1178574,AlPdO3,Hexagonal,P6_3/mmc,194,10,106.526868563887,5.65531225459195,5.65528578547617,-63.12428395,-6.312428395,Al,Pd,O,0.154439158272734,,,
mp-1178547,AlRhO3,Hexagonal,P6_3/mmc,194,10,102.224160356065,5.77916975865357,5.77915186157785,-69.98803657,-6.998803657,Al,Rh,O,0.0432350841363585,,,
mp-1371447,AlSbO3,Orthorhombic,Pnma,62,20,259.286945343354,5.03988384706921,5.03988384706921,-127.61536349,-6.3807681745,Al,Sb,O,0.339868097500005,,,
mp-1374707,AlSbO3,Hexagonal,P6_3cm,185,30,366.000121214001,5.35563792953424,5.35563792953424,-189.43597221,-6.314532407,Al,Sb,O,0.406103865000004,,,
mp-1261047,AlSbO3,Monoclinic,P2_1,4,20,324.762469332995,4.02379034214076,4.02379023960873,-133.14922839,-6.6574614195,Al,Sb,O,0.061852403500005,,,
mp-1183134,AlSbO3,Cubic,Pm-3m,221,5,52.9015717034634,6.17550691554565,6.17550721143649,-32.00448998,-6.400897996,Al,Sb,O,0.319599526000005,,,
mp-1384267,AlSbO3,Hexagonal,P6_3/mmc,194,10,136.034162885659,4.80311731947172,4.80311731947172,-59.18608508,-5.918608508,Al,Sb,O,0.802027764000004,,,
mp-1421511,AlSbO3,Cubic,Pm-3m,221,5,66.5165215902092,4.91147182816696,4.91147182816696,-27.01062187,-5.402124374,Al,Sb,O,1.318511898,,,
mp-1079481,AlSBr3,Trigonal,P-3m1,164,10,379.935311177417,2.61149838001744,2.6114852031493,-29.90714662,-2.990714662,Al,S,Br,0.361060012875001,,,
mp-1183132,AlSiO3,Cubic,Pm-3m,221,5,45.0806898724334,3.79638944275349,3.79638832591093,-32.72642209,-6.545284418,Al,Si,O,1.03579189274999,,,
mp-1406914,AlSnO3,Hexagonal,P6_3/mmc,194,10,127.220527674065,5.0562497047465,5.0562497047465,-61.21294612,-6.121294612,Al,Sn,O,0.658372996125003,,,
