material_id,formula_pretty,icsd,crystal_system,symbol,number,point_group,nsites,nelements,volume,density,energy_per_atom,formation_energy_per_atom
mp-14550,TiCdO3,"['icsd-62150', 'icsd-262710']",Orthorhombic,Pnma,62.0,mmm,20.0,3.0,227.38653800449300,6.083926863535970,-7.3687953860000000,-2.637105803916670
mp-1101047,TiCdO3,,Triclinic,P1,1.0,1,10.0,3.0,277.93610284000800,2.4887070316452000,-6.296802835000000,-1.5651132529166700
mp-5052,TiCdO3,"['icsd-62151', 'icsd-16686', 'icsd-262711']",Orthorhombic,Pna2_1,33.0,mm2,20.0,3.0,220.54685782643000,6.2726038385036200,-7.372593441000000,-2.6409038589166700
mp-13641,TiCdO3,"['icsd-15989', 'icsd-262708', 'icsd-5310']",Trigonal,R-3,148.0,-3,10.0,3.0,119.04414777961400,5.810462306526290,-7.411338015,-2.6796484329166700
mp-1179551,TiCdO3,,Triclinic,P-1,2.0,-1,10.0,3.0,195.3942757687810,3.5400296695718600,-7.245404959,-2.5137153769166700
mp-1179263,TiCdO3,,Orthorhombic,Pmc2_1,26.0,mm2,20.0,3.0,256.34652840922100,5.396613231147700,-7.1912718715,-2.459582289416670
mp-1179381,TiCoO3,,Triclinic,P-1,2.0,-1,10.0,3.0,168.77986080467400,3.0459650946383500,-8.470397449,-2.501622259916670
mp-19424,TiCoO3,"['icsd-38158', 'icsd-16548', 'icsd-48107']",Trigonal,R-3,148.0,-3,10.0,3.0,102.011734456397,5.039592429522880,-8.5965849335,-2.627809744416670
mp-756083,TiCrO3,,Triclinic,P1,1.0,1,30.0,3.0,336.02093158065700,4.38418161511454,-9.248453735333330,-2.770732611250000
mp-755606,TiCrO3,,Orthorhombic,Pnma,62.0,mmm,20.0,3.0,210.1702097484960,4.672964172840300,-9.253288666,-2.7755675419166700
mp-1187469,TiCuO3,,Cubic,Pm-3m,221.0,m-3m,5.0,3.0,57.101005279421800,4.635794483096120,-7.303850848000000,-1.9368978839166700
mp-1147748,TiCuO3,,Tetragonal,P4/mmm,123.0,4/mmm,5.0,3.0,60.86474174556890,4.349127551713590,-7.5964208500000000,-2.229467885916670
mp-19270,TiFeO3,"['icsd-79278', 'icsd-246515']",Trigonal,R3c,161.0,3m,10.0,3.0,102.29482436671400,4.925385335207110,-8.939818291,-2.6987024189166700
mp-1277107,TiFeO3,,Triclinic,P-1,2.0,-1,20.0,3.0,219.16653632663000,4.597795231408050,-8.971592041,-2.730476168916670
mp-19417,TiFeO3,"['icsd-29209', 'icsd-153673', 'icsd-30673', 'icsd-9805', 'icsd-43466', 'icsd-30666', 'icsd-153491', 'icsd-24790', 'icsd-247547', 'icsd-153493', 'icsd-153492', 'icsd-30669', 'icsd-30672', 'icsd-30668', 'icsd-153674', 'icsd-30671', 'icsd-30667', 'icsd-187688', 'icsd-30665', 'icsd-153494', 'icsd-30670', 'icsd-67046', 'icsd-30664']",Trigonal,R-3,148.0,-3,10.0,3.0,102.67577859097700,4.907110856305440,-8.959550826000000,-2.718434953916670
mp-19074,TiFeO3,['icsd-246516'],Orthorhombic,Cmcm,63.0,mmm,10.0,3.0,101.6130315680440,4.958433185471930,-8.848473615,-2.6073577429166700
