nsites,nelements,formula_pretty,volume,density,crystal_system,symbol,number,point_group,symprec,version,material_id,energy_per_atom,formation_energy_per_atom,e_total,e_electronic,icsd
5.0,3.0,CsGeI3,234.16603554860086,4.157331105019944,Monoclinic,Cm,8.0,m,0.1,1.16.2,mp-642690,-3.0815774740000004,-1.093871618586207,29.473929006666662,5.694168333333334,
5.0,3.0,CsGeI3,225.06811678964056,4.325382720624483,Trigonal,R3m,160.0,3m,0.1,1.16.2,mp-28377,-3.090217248,-1.102511392586207,22.93091800687185,6.125620713333333,['icsd-62559']
5.0,3.0,CsAsO3,67.69726825568856,6.275110295414904,Cubic,Pm-3m,221.0,m-3m,0.1,1.16.2,mp-1183911,-5.210400732,-1.131483349836207,,,
10.0,3.0,CsAsO3,219.97981958535757,3.862243598557912,Trigonal,P-31m,162.0,-3m,0.1,1.16.2,mp-1178465,-5.872535957,-1.793618574836207,,,
20.0,3.0,CsAsO3,380.39607043350026,4.467005398017112,Orthorhombic,Pbcm,57.0,mmm,0.1,1.16.2,mp-776093,-5.9730525145,-1.894135132336207,,,
5.0,3.0,CsRbO3,94.80428201626086,4.665614175855958,Cubic,Pm-3m,221.0,m-3m,0.1,1.16.2,mp-1183926,-3.76243748,-0.41923696433620705,,,
5.0,3.0,CsSrO3,119.7970554328997,3.7220782487078896,Cubic,Pm-3m,221.0,m-3m,0.1,1.16.2,mp-1183972,-4.870726622,-1.3857342301695403,,,
5.0,3.0,CsSrF3,108.0710349506573,4.264175876726179,Cubic,Pm-3m,221.0,m-3m,0.1,1.16.2,mp-8397,-5.337036404,-3.67316985841954,84.95816827666671,2.1972820599999987,['icsd-49578']
5.0,3.0,CsSrCl3,182.55680856735304,2.9733451570710097,Cubic,Pm-3m,221.0,m-3m,0.1,1.16.2,mp-1213642,-4.27827622,-2.65217505891954,,,
20.0,3.0,CsSrCl3,712.4138479474693,3.0476914743190275,Orthorhombic,Pnma,62.0,mmm,0.1,1.16.2,mp-1213084,-4.291098755999999,-2.66499759491954,8.677287536666666,2.54312341,
5.0,3.0,CsSrCl3,182.76182731550747,2.9700097149226807,Monoclinic,Cm,8.0,m,0.1,1.16.2,mp-1080233,-4.278201812,-2.65210065091954,,,
10.0,3.0,CsSrCl3,356.3685601129984,3.0463091495611425,Tetragonal,P4/mbm,127.0,4/mmm,0.1,1.16.2,mp-1213645,-4.281499447,-2.6553982859195395,,,
10.0,3.0,CsSrCl3,360.0128133440407,3.0154726861088466,Trigonal,R3c,161.0,3m,0.1,1.16.2,mp-998561,-4.287534933,-2.66143377191954,9.188295136665484,2.534576486666667,
5.0,3.0,CsSrBr3,212.8528132518763,3.590472952255666,Monoclinic,Cm,8.0,m,0.1,1.16.2,mp-998297,-3.830314646,-2.38151848291954,,,
