nsites,nelements,formula_pretty,volume,density,crystal_system,symbol,number,point_group,material_id,energy_per_atom,formation_energy_per_atom,e_total,e_electronic,icsd
20,3,MgSO3,248.290174370196,2.79201500986219,Monoclinic,P2_1/c,14,2/m,mp-769347,-6.380499914,-2.265140703875,,,
40,3,MgSO3,511.061657476366,2.71290120673921,Monoclinic,P2_1/c,14,2/m,mp-769322,-6.396531487,-2.281172276875,,,
30,3,MgSO3,366.176731240082,2.8397348923369,Trigonal,R-3,148,-3,mp-769397,-6.405517005,-2.290157794875,,,
20,3,MgSeO3,227.010962514042,4.42583829709797,Orthorhombic,Pnma,62,mmm,mp-12271,-6.018788838,-2.03153730571875,10.4702303433333,3.80262400333333,['icsd-494']
10,3,AlSBr3,379.935311177417,2.61149838001744,Trigonal,P-3m1,164,-3m,mp-1079481,-3.411953277,-0.903731139625,,,['icsd-26075']
20,3,SiH3F,304.776200494886,1.09202531925881,Monoclinic,P2_1/c,14,2/m,mp-28289,-4.4490883065,-0.94609328,2.62037154666667,1.98835841666667,['icsd-60065']
20,3,SiH3I,420.542688745083,2.49570926689517,Monoclinic,P2_1/c,14,2/m,mp-28538,-3.7088368375,-0.2934643345,3.69526335,2.7416986,['icsd-65044']
20,3,KClO3,370.207974600109,2.19874498988966,Orthorhombic,Pnma,62,mmm,mp-556084,-4.7135123145,-1.15371196635,,,['icsd-16690']
5,3,KClO3,89.1498594092199,2.28265342975124,Trigonal,R3m,160,3m,mp-550506,-4.702425806,-1.14262545785,6.00086954020976,2.31117037,"['icsd-188311', 'icsd-9483']"
10,3,KClO3,185.027807315655,2.1996502611646,Monoclinic,P2_1/m,11,2/m,mp-23022,-4.713488817,-1.15368846885,5.19354446333333,2.21284693,"['icsd-26409', 'icsd-26685', 'icsd-31120', 'icsd-1724', 'icsd-26408']"
5,3,KBrO3,83.9596761670273,3.3029052403687,Trigonal,R3m,160,3m,mp-22958,-4.567074504,-1.06637582185,6.99397099323535,2.75028529666667,"['icsd-33663', 'icsd-47173', 'icsd-74767']"
5,3,KIO3,92.3823940071027,3.84658759706934,Trigonal,R3,146,3,mp-1223446,-4.86031302,-1.37554673385,,,
5,3,KIO3,74.1019188315476,4.79551645326636,Cubic,Pm-3m,221,m-3m,mp-558843,-4.6682329,-1.18346661385,,,['icsd-28545']
40,3,KIO3,704.085663573355,4.03765609055918,Trigonal,R3,146,3,mp-1200675,-4.86551696625,-1.3807506801,,,['icsd-423584']
5,3,KIO3,87.3626903291311,4.06760562931978,Trigonal,R3m,160,3m,mp-552729,-4.861108092,-1.37634180585,11.0419893230872,3.53614598232138,['icsd-97995']
10,3,KIO3,175.498772384806,4.0496804182325,Trigonal,R3c,161,3m,mp-1080058,-4.865235048,-1.38046876185,,,['icsd-424864']
20,3,KIO3,373.603769659772,3.8046401009166,Monoclinic,C2,5,2,mp-1180816,-4.856070678,-1.37130439185,,,
30,3,KSO3,531.65818069242,2.23307756566768,Trigonal,P321,150,32,mp-558546,-6.098420835,-2.081037845475,,,['icsd-36154']
30,3,KSO3,512.648739732601,2.31588193609371,Trigonal,P321,150,32,mp-541581,-6.09635229966667,-2.07896931014167,5.6235898566664,2.21780063,"['icsd-16661', 'icsd-82843', 'icsd-27580']"
20,3,CaSeO3,284.231354786736,3.9034417697446,Monoclinic,P2_1/c,14,2/m,mp-557997,-6.3760059105,-2.30769041221875,9.80730651,3.44494368666667,['icsd-159880']
20,3,CaSeO3,288.97320915791,3.83938893774531,Orthorhombic,Pnma,62,mmm,mp-754140,-6.364078226,-2.29576272771875,,,
10,3,MnO3F,183.663352023836,2.2048736961084,Monoclinic,Cc,9,m,mp-1221601,-6.310202989,-1.12749091033621,,,
