Name,X_EA,X_Rvdw,X_Z,mean_A2B,X_G,X_IEII,mean_X2X,A_Rvdw,A_ChiA,A_IEI,B_Z,B_Hf,B_Ra,mean_A2X,std_B2X,OF,A_EA,std_A2X,B_Rho,E_coh,A_ChiP,B_CvM,B_MP,B_Rc,TF,B_Rvdw,A_MP,std_X2X,A_Kappa,X_MV
NaNbO3,141.0,1.52,8.0,3.433826515288835,16.0,35.1211,3.332376084426129,2.27,0.869,5.139076,41.0,30.0,1.45,3.1618334627972104,1.1101369296891566,0.474074074074074,52.8,0.8520579337853992,8570.0,-37.7408969283333,0.93,0.265,2750.0,164.0,0.9736043117844924,2.18,370.87,0.7368288645232636,140.0,17.36
NaSbO3,141.0,1.52,8.0,3.803119416433269,16.0,35.1211,3.141929357245988,2.27,0.869,5.139076,51.0,19.79,1.45,3.363844917551716,1.3019600318209936,0.4444444444444444,52.8,0.947640515109058,6697.0,-27.8220007833333,0.93,0.207,903.78,139.0,0.993575682282636,2.06,370.87,0.3701704044216234,140.0,17.36
RbAuBr3,324.6,1.85,35.0,4.696130027432551,17.0,21.591,4.263065748726646,3.03,0.706,4.177128,79.0,12.55,1.35,3.7438106660223625,0.4535217198737396,0.5663265306122449,46.9,0.0938696516281955,19300.0,-12.808423090000002,0.82,0.129,1337.33,136.0,0.8476068256568385,2.14,312.46,0.4672006692576012,58.0,19.78
RbAuI3,295.2,1.98,53.0,4.984314841598948,17.0,19.1313,4.355964045301409,3.03,0.706,4.177128,79.0,12.55,1.35,3.9678453245583154,0.4725487065070124,0.5045454545454545,46.9,0.1219658428181563,19300.0,-11.55174763,0.82,0.129,1337.33,136.0,0.8374195112541588,2.14,312.46,0.3912713490483824,58.0,25.72
RbBiO3,141.0,1.52,8.0,3.761605747072622,16.0,35.1211,3.0713382312828803,3.03,0.706,4.177128,83.0,11.106,1.6,3.0713382312828803,0.0,0.662962962962963,46.9,0.0,9780.0,-23.99254258,0.82,0.122,544.4,148.0,0.966956711912116,2.07,312.46,0.0,58.0,17.36
RbBrO3,141.0,1.52,8.0,3.981858068074092,16.0,35.1211,3.535709355458157,3.03,0.706,4.177128,35.0,5.285,1.15,3.358804090786993,1.251885455279057,0.2888888888888888,46.9,0.295209029519129,,-19.84921039,0.82,0.474,265.8,120.0,1.24759644726592,1.85,312.46,0.698461721696124,58.0,17.36
RbCaH3,72.8,1.1,1.0,3.932833892742981,1.0,,3.211145426781324,3.03,0.706,4.177128,20.0,8.54,1.8,3.211145426781324,0.0,0.7692307692307692,46.9,0.0,1550.0,-14.50427741,0.82,0.647,1115.0,176.0,0.928461947471032,2.31,312.46,0.0,58.0,11.42
RbIO3,141.0,1.52,8.0,3.990908433502199,16.0,35.1211,3.52918066910888,3.03,0.706,4.177128,53.0,7.76,1.4,3.316452273804241,1.2455646419786033,0.7037037037037036,46.9,0.182455220981886,4940.0,-21.33813369,0.82,0.214,386.85,139.0,0.9438338340185658,1.98,312.46,0.6679564802295554,58.0,17.36
RbMgF3,328.0,1.47,9.0,3.576165460476302,17.0,34.9708,2.919926871310728,3.03,0.706,4.177128,12.0,8.48,1.5,2.919926871310728,0.0,0.5603112840466926,46.9,0.0,1738.0,-23.81685517,0.82,1.023,923.0,141.0,1.059778492501534,1.73,312.46,0.0,58.0,11.2
RbPbBr3,324.6,1.85,35.0,4.958378739060351,17.0,21.591,4.460307835699354,3.03,0.706,4.177128,82.0,4.774,1.8,3.876494294212352,0.0263082285368171,0.6071428571428571,46.9,0.4639227677754504,11340.0,-15.24042934,0.82,0.13,600.61,146.0,0.8260803031004745,2.02,312.46,0.2750200578830894,58.0,19.78
RbPbCl3,349.0,1.75,17.0,4.739654178685431,17.0,23.8136,4.253639825273736,3.03,0.706,4.177128,82.0,4.774,1.8,3.715200682133883,0.0267891877790824,0.6574585635359116,46.9,0.465620064053928,11340.0,-16.899116335000002,0.82,0.13,600.61,146.0,0.8320289791961709,2.02,312.46,0.2676632778988843,58.0,17.39
RbReO3,141.0,1.52,8.0,3.4483855991428976,16.0,35.1211,2.815595051420584,3.03,0.706,4.177128,75.0,34.08,1.35,2.815595051420584,0.0,0.4296296296296296,46.9,0.0,21020.0,-34.07811628,0.82,0.137,3459.0,151.0,1.1247760716283424,2.16,312.46,0.0,58.0,17.36
RbSbO3,141.0,1.52,8.0,3.5452123947630385,16.0,35.1211,2.894653798986617,3.03,0.706,4.177128,51.0,19.79,1.45,2.894653798986617,0.0,0.4444444444444444,46.9,0.0,6697.0,-25.96438079,0.82,0.207,903.78,139.0,1.1132399067911287,2.06,312.46,0.0,58.0,17.36
RbWO3,141.0,1.52,8.0,3.4677685736792405,16.0,35.1211,2.831421183857717,3.03,0.706,4.177128,74.0,52.31,1.35,2.831421183857717,0.0,0.4592592592592592,46.9,0.0,19250.0,-36.32050124,0.82,0.132,3695.0,162.0,1.1019379788034014,2.18,312.46,0.0,58.0,17.36
ReTlO3,141.0,1.52,8.0,3.4526049991806262,16.0,35.1211,2.819040177124956,2.16,,7.83352,81.0,4.142,1.9,1.9933624256823823,0.0,0.4296296296296296,14.5,0.0,11850.0,-33.70790334,1.9,0.129,577.0,145.0,1.1174485402170826,1.96,3459.0,0.0,48.0,17.36
ScBO3,141.0,1.52,8.0,3.442130178418884,16.0,35.1211,2.8733270112268365,2.15,1.19,6.56149,5.0,50.2,0.85,3.108851132143198,0.7961015669829504,0.2,18.1,0.9769072417393776,2460.0,-40.5384598633333,1.36,1.026,2349.0,84.0,0.9144374732011216,1.92,1814.0,0.2769055980233368,16.0,17.36
SrWN3,7.0,1.55,7.0,4.247508559111188,15.0,29.6013,3.440956785598301,2.49,0.963,5.69485,74.0,52.31,1.35,3.2768140852891734,1.2578828910492943,0.410958904109589,5.03,0.6160190017498502,19250.0,-40.406952355,0.95,0.132,3695.0,162.0,0.995441585165528,2.18,1050.0,0.7393785546889398,35.0,13.54
TiCdO3,141.0,1.52,8.0,3.680918877870942,16.0,35.1211,3.01936041609552,2.11,1.38,6.82812,48.0,6.21,1.55,3.1756722286579144,0.9075744677292984,0.7037037037037036,7.6,1.1906931017743398,8650.0,-32.6693974133333,1.54,0.231,594.22,144.0,0.6425448576869063,2.18,1941.0,0.2911614641920585,22.0,17.36
TiPbO3,141.0,1.52,8.0,3.42885512404814,16.0,35.1211,2.881777362798307,2.11,1.38,6.82812,82.0,4.774,1.8,1.9114963184767944,0.1638702228448392,0.8814814814814814,7.6,0.113330855980372,11340.0,-36.17090159,1.54,0.13,600.61,146.0,0.5818319577479859,2.02,1941.0,0.1071168151045684,22.0,17.36
TlCrO3,141.0,1.52,8.0,3.2207041124661764,16.0,35.1211,3.147160982453567,1.96,,6.108194,24.0,21.0,1.4,2.9959933051168086,0.9877844985933496,0.3629629629629629,19.2,0.7900819849150219,7140.0,-31.72019175,1.62,0.449,2180.0,139.0,1.17210634924944,2.06,577.0,0.5824943636606538,46.0,17.36
TlIO3,141.0,1.52,8.0,3.842850080645303,16.0,35.1211,2.837151514871232,1.96,,6.108194,53.0,7.76,1.4,2.8662770353144778,4.122421278060612e-12,0.7037037037037036,19.2,5.042186672232753e-12,4940.0,-20.75735856,1.62,0.214,386.85,139.0,0.937685079399552,1.98,577.0,2.0386466580538264e-12,46.0,17.36
