Name,B_Ra,B_Rc,B_Rvdw,A_Rvdw,X_Rvdw,mean_A2X,mean_A2B,mean_X2X,std_A2X,std_A2B,std_B2X,X_G,X_EA,A_EA,B_CvM,A_ChiA,A_MP,B_MP
RbPbBr3,1.8,146.0,2.02,3.03,1.85,3.876494294212352,4.958378739060351,4.460307835699354,0.4639227677754504,0.2171185128261617,0.0263082285368171,17.0,324.6,46.9,0.13,0.706,312.46,600.61
RbPbCl3,1.8,146.0,2.02,3.03,1.75,3.715200682133883,4.739654178685431,4.253639825273736,0.465620064053928,0.20723744304104,0.0267891877790824,17.0,349.0,46.9,0.13,0.706,312.46,600.61
RbReO3,1.35,151.0,2.16,3.03,1.52,2.815595051420584,3.4483855991428976,2.815595051420584,0.0,0.0,0.0,16.0,141.0,46.9,0.137,0.706,312.46,3459.0
RbSbO3,1.45,139.0,2.06,3.03,1.52,2.894653798986617,3.5452123947630385,2.894653798986617,0.0,0.0,0.0,16.0,141.0,46.9,0.207,0.706,312.46,903.78
RbWO3,1.35,162.0,2.18,3.03,1.52,2.831421183857717,3.4677685736792405,2.831421183857717,0.0,0.0,0.0,16.0,141.0,46.9,0.132,0.706,312.46,3695.0
ReTlO3,1.9,145.0,1.96,2.16,1.52,1.9933624256823823,3.4526049991806262,2.819040177124956,0.0,0.0,0.0,16.0,141.0,14.5,0.129,,3459.0,577.0
ScBO3,0.85,84.0,1.92,2.15,1.52,3.108851132143198,3.442130178418884,2.8733270112268365,0.9769072417393776,0.400595325007418,0.7961015669829504,16.0,141.0,18.1,1.026,1.19,1814.0,2349.0
SrWN3,1.35,162.0,2.18,2.49,1.55,3.2768140852891734,4.247508559111188,3.440956785598301,0.6160190017498502,0.967268419226048,1.2578828910492943,15.0,7.0,5.03,0.132,0.963,1050.0,3695.0
TiCdO3,1.55,144.0,2.18,2.11,1.52,3.1756722286579144,3.680918877870942,3.01936041609552,1.1906931017743398,0.3274093761681366,0.9075744677292984,16.0,141.0,7.6,0.231,1.38,1941.0,594.22
TiPbO3,1.8,146.0,2.02,2.11,1.52,1.9114963184767944,3.42885512404814,2.881777362798307,0.113330855980372,0.0,0.1638702228448392,16.0,141.0,7.6,0.13,1.38,1941.0,600.61
TlCrO3,1.4,139.0,2.06,1.96,1.52,2.9959933051168086,3.2207041124661764,3.147160982453567,0.7900819849150219,0.0501590248748062,0.9877844985933496,16.0,141.0,19.2,0.449,,577.0,2180.0
TlIO3,1.4,139.0,1.98,1.96,1.52,2.8662770353144778,3.842850080645303,2.837151514871232,5.042186672232753e-12,0.0,4.122421278060612e-12,16.0,141.0,19.2,0.214,,577.0,386.85
YVO3,1.35,153.0,2.07,2.32,1.52,2.9691297160471923,3.1422426613658123,3.2428022006023096,0.8140318175301319,0.0540700850319669,0.9302688011314708,16.0,141.0,29.6,0.489,1.12,1799.0,2183.0
YWN3,1.35,162.0,2.18,2.32,1.55,2.748824037755967,3.4199706044522897,3.0476778811860843,0.5828367652911729,0.1057194087747408,0.820555296675862,15.0,7.0,29.6,0.132,1.12,1799.0,3695.0
