material_id,Name,A_site,B_site,X_site,Spacegroup,Ehull,Energy,nsites,density_MP,s_A,s_B,s_X
mp-1182285,BaBiO3,Ba,Bi,O,P1,0.643198813,-54.36257103,10,6.30410336359455,1.61,1.03,1.42
mp-27365,BaBiSe3,Ba,Bi,Se,P2_12_12_1,0.0,-171.63031006,40,6.16907214316043,1.61,1.03,1.98
mp-1214407,BaBO3,Ba,B,O,Pm-3m,1.25370796766667,-29.24297028,5,6.05947530868053,1.61,0.27,1.42
mp-1183285,BaCaO3,Ba,Ca,O,Pm-3m,0.344531054000001,-28.08548312,5,4.20641692987227,1.61,1.34,1.42
mp-1183292,BaCdO3,Ba,Cd,O,Pm-3m,0.202881038000002,-23.81848733,5,6.20680671299404,1.61,1.31,1.42
mp-4900,BaCeO3,Ba,Ce,O,R-3c,0.0027953380000003,-77.13754618,10,6.15259269946854,1.61,0.87,1.42
mp-3316,BaCeO3,Ba,Ce,O,Imma,0.0011827750000019,-77.15279428,10,6.15641475750134,1.61,0.87,1.42
mp-3187,BaCeO3,Ba,Ce,O,Pnma,0.0,-154.33230882,20,6.16034625039506,1.61,0.87,1.42
mp-5663,BaCeO3,Ba,Ce,O,Pm-3m,0.0403338959999999,-38.3806772,5,6.03361524161451,1.61,0.87,1.42
mp-1080782,BaClO3,Ba,Cl,O,P4/nmm,0.916970865159998,-41.05937253,10,3.93445620861919,1.61,0.12,1.42
mp-1182237,BaClO3,Ba,Cl,O,P2_1/m,0.496639524159998,-48.28577238,10,3.62583925483107,1.61,0.12,1.42
mp-1182337,BaClO3,Ba,Cl,O,P1,0.531044515159998,-48.9030249,10,3.59917190174574,1.61,0.12,1.42
mp-2626703,BaCO3,Ba,C,O,Imm2,0.0438568360000007,-74.25490545,10,3.92537647609181,1.61,0.16,1.42
mp-675324,BaCO3,Ba,C,O,Pnn2,0.0758238020000004,-73.99634722,10,3.78499940537899,1.61,0.16,1.42
mp-674478,BaCO3,Ba,C,O,R-3c,0.0499068710000001,-74.16455869,10,3.69810765888416,1.61,0.16,1.42
mp-762225,BaCO3,Ba,C,O,P2_1,0.0132368339999998,-74.53306661,10,3.97322743685929,1.61,0.16,1.42
mp-1227982,BaCO3,Ba,C,O,R32,0.0490504610000002,-37.0845218,5,3.68483323231126,1.61,0.16,1.42
mp-4559,BaCO3,Ba,C,O,R3m,0.0218447350000002,-37.22348532,5,4.12502978709983,1.61,0.16,1.42
mp-5504,BaCO3,Ba,C,O,Pnma,0.0,-149.33083316,20,4.09974666609938,1.61,0.16,1.42
mp-676020,BaCO3,Ba,C,O,C2/m,0.0337659079999995,-74.32781634,10,3.91406702269917,1.61,0.16,1.42
mp-2506699,BaCO3,Ba,C,O,P2_1/m,0.0044173869999992,-74.64929994,10,3.9975409693915,1.61,0.16,1.42
mp-34195,BaCO3,Ba,C,O,P2_1/m,0.0353595899999997,-74.17898166,10,4.33083895906623,1.61,0.16,1.42
mp-545643,BaCO3,Ba,C,O,P6_3/mmc,0.104496795,-73.62047656,10,4.37536825047292,1.61,0.16,1.42
mp-18965,BaCoO3,Ba,Co,O,P6_3/mmc,0.0,-60.39224606,20,6.00178645615438,1.61,0.53,1.42
mp-1283250,BaCoO3,Ba,Co,O,C2/m,0.001055195000001,-121.72515504,20,5.89119733719842,1.61,0.53,1.42
mp-1076782,BaCoO3,Ba,Co,O,Pm-3m,0.222225269000001,-29.31199893,5,6.42580974417061,1.61,0.53,1.42
mp-557081,BaCrO3,Ba,Cr,O,P6_3/mmc,0.0816520543392896,-533.11459039,70,6.03071540260561,1.61,0.55,1.42
mp-540926,BaCrO3,Ba,Cr,O,P6_3/mmc,0.0837866146250041,-228.42845737,30,6.14262911421814,1.61,0.55,1.42
mp-19271,BaCrO3,Ba,Cr,O,P6_3/mmc,0.294836223625004,-139.71143409,20,5.82101597651462,1.61,0.55,1.42
mp-1076800,BaCuO3,Ba,Cu,O,Pm-3m,0.0827329195833366,-27.0503014,5,6.43934851012735,1.61,0.54,1.42
mp-1183286,BaDyO3,Ba,Dy,O,Pm-3m,0.108720870999999,-34.93181,5,6.65191214987648,1.61,0.912,1.42
mp-1183291,BaErO3,Ba,Er,O,Pm-3m,0.0867026415000005,-35.10582568,5,6.89440034135658,1.61,0.89,1.42
mp-1183310,BaEuO3,Ba,Eu,O,Pm-3m,0.0353090495000092,-38.83960138,5,6.41064369671765,1.61,1.062,1.42
mp-19035,BaFeO3,Ba,Fe,O,Pm-3m,0.0068642333333324,-31.62303443,5,6.11594172788745,1.61,0.585,1.42
mp-705845,BaFeO3,Ba,Fe,O,R3m,0.460984997333333,-117.34845228,20,3.85510618518923,1.61,0.585,1.42
mp-1192651,BaFeO3,Ba,Fe,O,P6_3/mmc,0.0,-185.93845981,30,6.03422707462818,1.61,0.585,1.42
mp-676865,BaGeO3,Ba,Ge,O,P1,0.451184006166666,-187.06556579,30,4.52506094290973,1.61,0.53,1.42
mp-1016823,BaGeO3,Ba,Ge,O,Pm-3m,0.2323634095,-31.63039962,5,6.79256211574148,1.61,0.53,1.42
mp-13863,BaGeO3,Ba,Ge,O,P2_12_12_1,0.0,-131.20188599,20,4.80199453725803,1.61,0.53,1.42
mp-1195469,BaGeS3,Ba,Ge,S,P2_1/c,0.0,-196.78373654,40,3.64646836984744,1.61,0.53,1.84
