Name,X_EA,mean_A2B,X_Z,X_Rvdw,X_IEII,mean_X2X,A_Rvdw,mean_A2X,A_IEI,E_coh,A_ChiA,B_Hf,X_G,A_EA,std_A2X,A_ChiP,B_MP,std_B2X,OF,A_MP,B_Z,X_Kappa,A_Kappa,B_Kappa,B_Ra,A_Z,B_Rho,X_MV,A_CvM,A_G,B_EA,B_CvM,TF,std_X2X,A_B,std_A2B,B_ChiP,X_IEI,B_MV,B_IEI
LaCrO3,141.0,3.298780827902446,8.0,1.52,35.1211,3.192650649348973,2.43,3.047806024159016,5.5769,-41.5054164625,1.09,21.0,16.0,48.0,0.7760867950974663,1.1,2180.0,1.0431737865948136,0.4555555555555555,1193.0,24.0,0.02658,13.0,94.0,1.4,57.0,7140.0,17.36,0.195,3.0,64.3,0.449,0.9751956117127448,0.6077545478038938,4.0,0.0628487182749331,1.66,13.61805,7.23,6.76651
LaScO3,141.0,3.391348597184747,8.0,1.52,35.1211,3.3121553764733545,2.43,3.1495408944869303,5.5769,-41.10151599,1.09,14.1,16.0,48.0,0.8433638726681897,1.1,1814.0,1.013684903172241,0.5518518518518518,1193.0,21.0,0.02658,13.0,16.0,1.6,57.0,2985.0,17.36,0.195,3.0,18.1,0.568,0.91468228019835,0.5990997750016548,4.0,0.0576448554116429,1.36,13.61805,15.0,6.56149
LiAsO3,141.0,3.460230809724888,8.0,1.52,35.1211,3.2519339481274354,1.82,3.046258891706612,5.391719,-28.52310609,0.912,24.44,16.0,59.6,0.8937954510242856,0.98,1090.0,1.140658462428806,0.3407407407407407,453.69,33.0,0.02658,85.0,50.0,1.15,3.0,5727.0,17.36,3.582,1.0,78.0,0.329,0.8868134769577142,0.835011273046396,1.0,0.3654717852093556,2.18,13.61805,12.95,9.7886
LiNbO3,141.0,3.3710315275096003,8.0,1.52,35.1211,3.2411002207515964,1.82,3.027997130982528,5.391719,-38.587258115,0.912,30.0,16.0,59.6,0.901741233350652,0.98,2750.0,1.015747781918622,0.474074074074074,453.69,41.0,0.02658,85.0,54.0,1.45,3.0,8570.0,17.36,3.582,1.0,86.1,0.265,0.8065991926097802,0.729203461297469,1.0,0.3557163807239379,1.6,13.61805,10.83,6.75885
LiSbO3,141.0,3.4961644065054696,8.0,1.52,35.1211,3.1926834005084546,1.82,3.089451115074972,5.391719,-28.6500243625,0.912,19.79,16.0,59.6,0.8530985762737444,0.98,903.78,1.0794126301253166,0.4444444444444444,453.69,51.0,0.02658,85.0,24.0,1.45,3.0,6697.0,17.36,3.582,1.0,103.2,0.207,0.8231448170735706,0.5314718262632276,1.0,0.0020087221161498,2.05,13.61805,18.19,8.60839
LiTaO3,141.0,3.360581036880673,8.0,1.52,35.1211,3.2281480195889136,1.82,3.0258264677090385,5.391719,-39.2605626516667,0.912,36.57,16.0,59.6,0.9048598961042584,0.98,3290.0,1.0026279661524462,0.474074074074074,453.69,73.0,0.02658,85.0,57.0,1.45,3.0,16650.0,17.36,3.582,1.0,31.0,0.14,0.8065991926097802,0.7216634800119651,1.0,0.361931438665431,1.5,13.61805,10.85,7.54957
MgCO3,141.0,3.394961332275484,8.0,1.52,35.1211,2.811486332255119,1.73,3.072625550071916,7.646235,-35.18296034000001,1.293,117.4,16.0,0.0,0.9422511558926472,1.31,3800.0,0.8299173089002521,0.1185185185185185,923.0,6.0,0.02658,160.0,140.0,0.7,12.0,2267.0,17.36,1.023,2.0,153.9,0.709,1.0489531058661368,0.3335827551222915,1.0,0.4045296677299577,2.55,13.61805,5.29,11.2603
MgSiO3,141.0,3.005706690789256,8.0,1.52,35.1211,3.431557678310463,1.73,3.2078333674695934,7.646235,-33.9551852875,1.293,50.21,16.0,0.0,0.9126675942641856,1.31,1687.0,1.112025420218815,0.2962962962962963,923.0,14.0,0.02658,160.0,150.0,1.1,12.0,2330.0,17.36,1.023,2.0,133.6,0.712,0.905096679918781,0.9181100399704428,1.0,0.0765455216722676,1.9,13.61805,12.06,8.15168
MgTiO3,141.0,3.4713798796114537,8.0,1.52,35.1211,3.2168014007997177,1.73,3.0082604268407787,7.646235,-36.9249649066667,1.293,14.15,16.0,0.0,0.9063139130671924,1.31,1941.0,1.0106279871653252,0.4481481481481481,923.0,22.0,0.02658,160.0,22.0,1.4,12.0,4507.0,17.36,1.023,2.0,7.6,0.524,0.8101888439170672,0.7431253787431894,1.0,0.3337837495298387,1.54,13.61805,10.64,6.82812
NaBiO3,141.0,3.9171581376967,8.0,1.52,35.1211,3.216158073018884,2.27,3.4362402346442726,5.139076,-25.218367471666703,0.869,11.106,16.0,52.8,0.9975712939608736,0.93,544.4,1.2368206279767944,0.5629629629629629,370.87,83.0,0.02658,140.0,8.0,1.6,11.0,9780.0,17.36,1.228,1.0,91.2,0.122,0.9182334504507772,0.2750973864521161,1.0,0.405122617430029,2.02,13.61805,21.31,7.2855
