material_id,Name,X_EA,X_Rvdw,X_Z,mean_A2B,X_G,X_IEII,mean_X2X,A_Rvdw,A_ChiA,A_IEI,B_Z,B_Hf,B_Ra,mean_A2X,std_B2X,OF,A_EA,std_A2X,B_Rho,E_coh,A_ChiP,B_CvM,B_MP,B_Rc,TF,B_Rvdw,A_MP,std_X2X,A_Kappa,X_MV
mp-551918,AlBiO3,141.0,1.52,8.0,3.1388103602960893,16.0,35.1211,2.861799298715951,1.84,1.613,5.985768,83.0,11.106,1.6,1.9469665761209265,0.0646047778806885,0.7253521126760564,42.5,0.0480785735646742,9780.0,-32.505159039999995,1.61,0.122,544.4,148.0,0.564242349885592,2.07,933.47,0.3146615189467924,235.0,17.36
mp-1413511,AlBiO3,141.0,1.52,8.0,3.701898334610501,16.0,35.1211,3.022587333151517,1.84,1.613,5.985768,83.0,11.106,1.6,3.022587333151517,0.0,0.7253521126760564,42.5,0.0,9780.0,-24.44091751,1.61,0.122,544.4,148.0,0.564242349885592,2.07,933.47,0.0,235.0,17.36
mp-1344602,AlBiO3,141.0,1.52,8.0,3.441374551825816,16.0,35.1211,3.2814284064929944,1.84,1.613,5.985768,83.0,11.106,1.6,2.92772519339176,0.8394176528356395,0.7253521126760564,42.5,0.9606528180242234,9780.0,-31.5990534875,1.61,0.122,544.4,148.0,0.564242349885592,2.07,933.47,0.4560438345182422,235.0,17.36
mp-1392353,AlBiO3,141.0,1.52,8.0,3.8451731099750015,16.0,35.1211,3.827767118776253,1.84,1.613,5.985768,83.0,11.106,1.6,2.7336045202272308,1.090798634755328,0.7253521126760564,42.5,0.4854209797727693,9780.0,-28.445013165,1.61,0.122,544.4,148.0,0.564242349885592,2.07,933.47,0.8384053857099191,235.0,17.36
mp-775763,AlBiO3,141.0,1.52,8.0,3.393054113546156,16.0,35.1211,3.4058734074797474,1.84,1.613,5.985768,83.0,11.106,1.6,3.09871236237501,0.8731780613669649,0.7253521126760564,42.5,1.0963346628001926,9780.0,-32.37763545999999,1.61,0.122,544.4,148.0,0.564242349885592,2.07,933.47,0.7152676178882303,235.0,17.36
mp-8110,AlBO3,141.0,1.52,8.0,2.847585394437501,16.0,35.1211,2.620554720329134,1.84,1.613,5.985768,5.0,50.2,0.85,1.9449875990168357,0.7036813486023086,0.1901408450704225,42.5,1.1705010064406904e-09,2460.0,-38.41811193,1.61,1.026,2349.0,84.0,0.8179844717276333,1.92,933.47,0.1805963294357243,235.0,17.36
mp-1435808,AlCoO3,141.0,1.52,8.0,3.19951526582434,16.0,35.1211,2.6123932751716383,1.84,1.613,5.985768,27.0,16.2,1.35,2.6123932751716383,0.0,0.4295774647887324,42.5,0.0,8900.0,-26.16257149,1.61,0.421,1768.0,126.0,0.6809821464136455,2.0,933.47,0.0,235.0,17.36
mp-1386773,AlCoO3,141.0,1.52,8.0,3.3532166542089104,16.0,35.1211,3.326574155740531,1.84,1.613,5.985768,27.0,16.2,1.35,2.4189980072434576,1.089967315922068,0.4295774647887324,42.5,0.3975357427565424,8900.0,-31.22205291,1.61,0.421,1768.0,126.0,0.6809821464136455,2.0,933.47,0.717188627383789,235.0,17.36
mp-1348445,AlCoO3,141.0,1.52,8.0,3.4072599161212005,16.0,35.1211,3.4348621429631754,1.84,1.613,5.985768,27.0,16.2,1.35,2.912617100343092,0.9871026305115932,0.4295774647887324,42.5,1.0402771137912303,8900.0,-31.3823931966666,1.61,0.421,1768.0,126.0,0.6809821464136455,2.0,933.47,0.8701808080714742,235.0,17.36
mp-1378752,AlCoO3,141.0,1.52,8.0,2.87192325271796,16.0,35.1211,3.0593100430652025,1.84,1.613,5.985768,27.0,16.2,1.35,2.731528139434504,0.7568042128283212,0.4295774647887324,42.5,0.853011969663034,8900.0,-32.07926434749999,1.61,0.421,1768.0,126.0,0.6809821464136455,2.0,933.47,0.6686487776069487,235.0,17.36
mp-1404938,AlCoO3,141.0,1.52,8.0,2.4856775036597307,16.0,35.1211,2.60113197809724,1.84,1.613,5.985768,27.0,16.2,1.35,2.146983707430322,0.2599962509224209,0.4295774647887324,42.5,0.6715872022198589,8900.0,-7.61634683,1.61,0.421,1768.0,126.0,0.6809821464136455,2.0,933.47,0.2138511324604809,235.0,17.36
mp-1248478,AlCoO3,141.0,1.52,8.0,3.4725282539988767,16.0,35.1211,3.313784931953628,1.84,1.613,5.985768,27.0,16.2,1.35,2.906193156892555,1.0291881332745425,0.4295774647887324,42.5,0.978031179247476,8900.0,-31.6720038816666,1.61,0.421,1768.0,126.0,0.6809821464136455,2.0,933.47,0.7341584941324277,235.0,17.36
mp-776216,AlCoO3,141.0,1.52,8.0,3.125968813013692,16.0,35.1211,2.659393260255978,1.84,1.613,5.985768,27.0,16.2,1.35,1.925410117216372,0.1153343049899362,0.4295774647887324,42.5,0.0550264854568062,8900.0,-32.39952786999999,1.61,0.421,1768.0,126.0,0.6809821464136455,2.0,933.47,0.0876044524781144,235.0,17.36
mp-1178576,AlCoO3,141.0,1.52,8.0,3.0323356521005205,16.0,35.1211,2.6340393747591007,1.84,1.613,5.985768,27.0,16.2,1.35,1.925958069489016,0.0027365868367587,0.4295774647887324,42.5,0.0560316666369791,8900.0,-32.65321169999999,1.61,0.421,1768.0,126.0,0.6809821464136455,2.0,933.47,0.085324336961962,235.0,17.36
mp-756947,AlCoO3,141.0,1.52,8.0,3.302195327140074,16.0,35.1211,3.0468529862126017,1.84,1.613,5.985768,27.0,16.2,1.35,2.9147257157236037,0.7546010693534044,0.4295774647887324,42.5,0.8312597417845008,8900.0,-34.162815984999995,1.61,0.421,1768.0,126.0,0.6809821464136455,2.0,933.47,0.5634600237884578,235.0,17.36
mp-754022,AlCoO3,141.0,1.52,8.0,3.1238091590233124,16.0,35.1211,2.664528239515702,1.84,1.613,5.985768,27.0,16.2,1.35,1.9235081681939636,0.1277934153044691,0.4295774647887324,42.5,0.055911741322536,8900.0,-34.05760938499999,1.61,0.421,1768.0,126.0,0.6809821464136455,2.0,933.47,0.0831080146337604,235.0,17.36
mp-1385937,AlCrO3,141.0,1.52,8.0,3.461563347930592,16.0,35.1211,3.4374569639446872,1.84,1.613,5.985768,24.0,21.0,1.4,2.489091756632303,1.1189651239741831,0.4330985915492958,42.5,0.4454197433676968,7140.0,-33.203103645,1.61,0.449,2180.0,139.0,0.6793089716067323,2.06,933.47,0.7578226038174641,235.0,17.36
