Name,A_site,B_site,X_site
KAgO3,K,Ag,O
KAlH3,K,Al,H
KAlO3,K,Al,O
KAsO3,K,As,O
KAuBr3,K,Au,Br
KAuCl3,K,Au,Cl
KAuF3,K,Au,F
KAuI3,K,Au,I
KAuO3,K,Au,O
KBaN3,K,Ba,N
KBaO3,K,Ba,O
KBeF3,K,Be,F
KBeH3,K,Be,H
KBeO3,K,Be,O
KBiO3,K,Bi,O
KBrO3,K,Br,O
KCaBr3,K,Ca,Br
KCaCl3,K,Ca,Cl
KCaF3,K,Ca,F
KCaH3,K,Ca,H
KCaI3,K,Ca,I
KCaO3,K,Ca,O
KCdCl3,K,Cd,Cl
KCdF3,K,Cd,F
KCdN3,K,Cd,N
KCdO3,K,Cd,O
KClO3,K,Cl,O
KCO3,K,C,O
KCoCl3,K,Co,Cl
KCoF3,K,Co,F
KCoO3,K,Co,O
KCrCl3,K,Cr,Cl
KCrF3,K,Cr,F
KCrO3,K,Cr,O
KCuCl3,K,Cu,Cl
KCuF3,K,Cu,F
KCuH3,K,Cu,H
KCuS3,K,Cu,S
KDyBr3,K,Dy,Br
KDyI3,K,Dy,I
KDyO3,K,Dy,O
KErO3,K,Er,O
KFeBr3,K,Fe,Br
KFeCl3,K,Fe,Cl
KFeF3,K,Fe,F
KFeI3,K,Fe,I
KFeO3,K,Fe,O
KGdO3,K,Gd,O
KGeBr3,K,Ge,Br
KGeCl3,K,Ge,Cl
KHfO3,K,Hf,O
KHoO3,K,Ho,O
KInBr3,K,In,Br
KInCl3,K,In,Cl
KInF3,K,In,F
KInI3,K,In,I
KInO3,K,In,O
KIO3,K,I,O
KIrO3,K,Ir,O
KLiO3,K,Li,O
KLuO3,K,Lu,O
KMgCl3,K,Mg,Cl
KMgF3,K,Mg,F
KMgH3,K,Mg,H
KMgO3,K,Mg,O
KMnBr3,K,Mn,Br
KMnCl3,K,Mn,Cl
KMnF3,K,Mn,F
KMnO3,K,Mn,O
KMoO3,K,Mo,O
KNaO3,K,Na,O
KNbO3,K,Nb,O
KNiCl3,K,Ni,Cl
KNiF3,K,Ni,F
KNpO3,K,Np,O
KOsO3,K,Os,O
KPaO3,K,Pa,O
KPbI3,K,Pb,I
KPbO3,K,Pb,O
KPdF3,K,Pd,F
KPdO3,K,Pd,O
KPO3,K,P,O
KPS3,K,P,S
KPSe3,K,P,Se
KPtO3,K,Pt,O
KPuO3,K,Pu,O
KRbO3,K,Rb,O
KReO3,K,Re,O
KRhO3,K,Rh,O
KRuO3,K,Ru,O
KSbO3,K,Sb,O
KScO3,K,Sc,O
KSiH3,K,Si,H
KSiO3,K,Si,O
KSnBr3,K,Sn,Br
KSnF3,K,Sn,F
KSnI3,K,Sn,I
KSnN3,K,Sn,N
KSO3,K,S,O
KSrI3,K,Sr,I
KSrO3,K,Sr,O
KTaO3,K,Ta,O
KTbO3,K,Tb,O
KTcCl3,K,Tc,Cl
KTcO3,K,Tc,O
KTiBr3,K,Ti,Br
KTiCl3,K,Ti,Cl
KTiI3,K,Ti,I
KTiO3,K,Ti,O
KTlBr3,K,Tl,Br
KTlCl3,K,Tl,Cl
KTlF3,K,Tl,F
KTlI3,K,Tl,I
KTlO3,K,Tl,O
