Name,A_site,B_site,X_site,v_A,s_A,v_B,s_B,s_X,v_X
NaMgO3,Na,Mg,O,1.0,1.39,2.0,0.89,1.42,-2
NdMgO3,Nd,Mg,O,,,2.0,0.89,1.42,-2
PmMgO3,Pm,Mg,O,3.0,1.144,2.0,0.89,1.42,-2
PuMgO3,Pu,Mg,O,,,2.0,0.89,1.42,-2
RbMgO3,Rb,Mg,O,1.0,1.72,2.0,0.89,1.42,-2
SrMgO3,Sr,Mg,O,2.0,1.44,2.0,0.89,1.42,-2
TbMgO3,Tb,Mg,O,,,2.0,0.89,1.42,-2
YbMgO3,Yb,Mg,O,,,2.0,0.89,1.42,-2
AcMnO3,Ac,Mn,O,3.0,1.12,,,1.42,-2
BaMnO3,Ba,Mn,O,2.0,1.61,,,1.42,-2
CaMnO3,Ca,Mn,O,2.0,1.34,,,1.42,-2
CeMnO3,Ce,Mn,O,,,,,1.42,-2
DyMnO3,Dy,Mn,O,,,,,1.42,-2
ErMnO3,Er,Mn,O,3.0,1.062,,,1.42,-2
EuMnO3,Eu,Mn,O,,,,,1.42,-2
GdMnO3,Gd,Mn,O,3.0,1.107,,,1.42,-2
HfMnO3,Hf,Mn,O,4.0,0.83,,,1.42,-2
HoMnO3,Ho,Mn,O,3.0,1.12,,,1.42,-2
KMnO3,K,Mn,O,1.0,1.64,,,1.42,-2
LaMnO3,La,Mn,O,3.0,1.36,,,1.42,-2
LiMnO3,Li,Mn,O,1.0,0.92,,,1.42,-2
LuMnO3,Lu,Mn,O,3.0,1.032,,,1.42,-2
MgMnO3,Mg,Mn,O,2.0,0.89,,,1.42,-2
NdMnO3,Nd,Mn,O,,,,,1.42,-2
PrMnO3,Pr,Mn,O,,,,,1.42,-2
RbMnO3,Rb,Mn,O,1.0,1.72,,,1.42,-2
ScMnO3,Sc,Mn,O,3.0,0.87,,,1.42,-2
SmMnO3,Sm,Mn,O,,,,,1.42,-2
SrMnO3,Sr,Mn,O,2.0,1.44,,,1.42,-2
TbMnO3,Tb,Mn,O,,,,,1.42,-2
TiMnO3,Ti,Mn,O,,,,,1.42,-2
TmMnO3,Tm,Mn,O,,,,,1.42,-2
YMnO3,Y,Mn,O,3.0,1.075,,,1.42,-2
YbMnO3,Yb,Mn,O,,,,,1.42,-2
ZrMnO3,Zr,Mn,O,4.0,0.89,,,1.42,-2
AcNiO3,Ac,Ni,O,3.0,1.12,,,1.42,-2
AlNiO3,Al,Ni,O,3.0,0.535,,,1.42,-2
BaNiO3,Ba,Ni,O,2.0,1.61,,,1.42,-2
CaNiO3,Ca,Ni,O,2.0,1.34,,,1.42,-2
CeNiO3,Ce,Ni,O,,,,,1.42,-2
CoNiO3,Co,Ni,O,,,,,1.42,-2
DyNiO3,Dy,Ni,O,,,,,1.42,-2
ErNiO3,Er,Ni,O,3.0,1.062,,,1.42,-2
EuNiO3,Eu,Ni,O,,,,,1.42,-2
FeNiO3,Fe,Ni,O,,,,,1.42,-2
GaNiO3,Ga,Ni,O,3.0,0.62,,,1.42,-2
GdNiO3,Gd,Ni,O,3.0,1.107,,,1.42,-2
HfNiO3,Hf,Ni,O,4.0,0.83,,,1.42,-2
HoNiO3,Ho,Ni,O,3.0,1.12,,,1.42,-2
LaNiO3,La,Ni,O,3.0,1.36,,,1.42,-2
LiNiO3,Li,Ni,O,1.0,0.92,,,1.42,-2
LuNiO3,Lu,Ni,O,3.0,1.032,,,1.42,-2
MnNiO3,Mn,Ni,O,,,,,1.42,-2
NaNiO3,Na,Ni,O,1.0,1.39,,,1.42,-2
NdNiO3,Nd,Ni,O,,,,,1.42,-2
PrNiO3,Pr,Ni,O,,,,,1.42,-2
PuNiO3,Pu,Ni,O,,,,,1.42,-2
RbNiO3,Rb,Ni,O,1.0,1.72,,,1.42,-2
SmNiO3,Sm,Ni,O,,,,,1.42,-2
SrNiO3,Sr,Ni,O,2.0,1.44,,,1.42,-2
TbNiO3,Tb,Ni,O,,,,,1.42,-2
TiNiO3,Ti,Ni,O,,,,,1.42,-2
TlNiO3,Tl,Ni,O,,,,,1.42,-2
TmNiO3,Tm,Ni,O,,,,,1.42,-2
VNiO3,V,Ni,O,,,,,1.42,-2
YNiO3,Y,Ni,O,3.0,1.075,,,1.42,-2
YbNiO3,Yb,Ni,O,,,,,1.42,-2
ZnNiO3,Zn,Ni,O,2.0,0.9,,,1.42,-2
ZrNiO3,Zr,Ni,O,4.0,0.89,,,1.42,-2
AcPdO3,Ac,Pd,O,3.0,1.12,,,1.42,-2
AgPdO3,Ag,Pd,O,,,,,1.42,-2
AlPdO3,Al,Pd,O,3.0,0.535,,,1.42,-2
BaPdO3,Ba,Pd,O,2.0,1.61,,,1.42,-2
BPdO3,B,Pd,O,3.0,0.27,,,1.42,-2
BePdO3,Be,Pd,O,2.0,0.45,,,1.42,-2
CsPdO3,Cs,Pd,O,1.0,1.88,,,1.42,-2
CuPdO3,Cu,Pd,O,,,,,1.42,-2
EuPdO3,Eu,Pd,O,,,,,1.42,-2
GePdO3,Ge,Pd,O,,,,,1.42,-2
KPdO3,K,Pd,O,1.0,1.64,,,1.42,-2
LaPdO3,La,Pd,O,3.0,1.36,,,1.42,-2
LuPdO3,Lu,Pd,O,3.0,1.032,,,1.42,-2
NaPdO3,Na,Pd,O,1.0,1.39,,,1.42,-2
NiPdO3,Ni,Pd,O,,,,,1.42,-2
RbPdO3,Rb,Pd,O,1.0,1.72,,,1.42,-2
SbPdO3,Sb,Pd,O,,,,,1.42,-2
